Weight,FatContent,ProductVisibility,ProductType,MRP,EstablishmentYear,OutletSize,LocationType,OutletType
20.75,Low Fat,0.007564836,Snack Foods,107.8622,1999,Medium,Tier 1,Supermarket Type1
8.3,reg,0.038427677,Dairy,87.3198,2007,,Tier 2,Supermarket Type1
14.6,Low Fat,0.099574908,Others,241.7538,1998,,Tier 3,Grocery Store
7.315,Low Fat,0.015388393,Snack Foods,155.034,2007,,Tier 2,Supermarket Type1
,Regular,0.118599314,Dairy,234.23,1985,Medium,Tier 3,Supermarket Type3
9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,1997,Small,Tier 1,Supermarket Type1
19.35,Regular,0.082601537,Baking Goods,50.1034,2009,Medium,Tier 3,Supermarket Type2
,Low Fat,0.015782495,Baking Goods,81.0592,1985,Medium,Tier 3,Supermarket Type3
6.305,Regular,0.123365446,Snack Foods,95.7436,2002,,Tier 2,Supermarket Type1
5.985,Low Fat,0.005698435,Baking Goods,186.8924,2007,,Tier 2,Supermarket Type1
16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,2007,,Tier 2,Supermarket Type1
6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,2002,,Tier 2,Supermarket Type1
,Low Fat,0.171079215,Health and Hygiene,240.4196,1985,Small,Tier 1,Grocery Store
4.785,Low Fat,0.092737611,Breads,122.3098,1999,Medium,Tier 1,Supermarket Type1
16.75,LF,0.021206464,Hard Drinks,52.0298,1987,High,Tier 3,Supermarket Type1
6.135,Regular,0.0794507,Baking Goods,151.6366,1999,Medium,Tier 1,Supermarket Type1
19.85,Low Fat,0.05413521,Seafood,198.7768,2002,,Tier 2,Supermarket Type1
17.85,Low Fat,0.037980963,Soft Drinks,192.2188,2009,Medium,Tier 3,Supermarket Type2
,Low Fat,0.028184344,Household,109.6912,1985,Medium,Tier 3,Supermarket Type3
13.6,Low Fat,0.196897637,Snack Foods,193.7136,1998,,Tier 3,Grocery Store
7.1,Low Fat,0.109920138,Fruits and Vegetables,175.008,1987,High,Tier 3,Supermarket Type1
19.2,Low Fat,0.182619235,Others,239.9196,2004,Small,Tier 2,Supermarket Type1
13.65,LF,0.065630844,Frozen Foods,47.7402,1997,Small,Tier 1,Supermarket Type1
,Low Fat,0.027447057,Others,142.347,1985,Small,Tier 1,Grocery Store
19.2,Low Fat,0.035178935,Snack Foods,180.7318,2004,Small,Tier 2,Supermarket Type1
6.785,Regular,0.038455125,Snack Foods,209.4928,1998,,Tier 3,Grocery Store
13,Low Fat,0.035102094,Household,47.6034,2004,Small,Tier 2,Supermarket Type1
5.825,Low Fat,0.091485232,Household,161.3894,1997,Small,Tier 1,Supermarket Type1
13.8,Low Fat,0.058102469,Dairy,244.6802,1997,Small,Tier 1,Supermarket Type1
12.8,LF,0.022940349,Fruits and Vegetables,116.5492,2004,Small,Tier 2,Supermarket Type1
,Low Fat,0.06737681,Household,32.09,1985,Small,Tier 1,Grocery Store
9.5,Regular,0.022148582,Meat,194.9452,2009,Medium,Tier 3,Supermarket Type2
12.5,Low Fat,0.006792707,Household,42.4112,2009,Medium,Tier 3,Supermarket Type2
,Regular,0.024870035,Fruits and Vegetables,217.7508,1985,Medium,Tier 3,Supermarket Type3
5.78,Low Fat,0.096931426,Breads,164.2552,2007,,Tier 2,Supermarket Type1
,Regular,0.008693632,Meat,205.098,1985,Medium,Tier 3,Supermarket Type3
,Low Fat,0.078961284,Canned,80.3644,1985,Medium,Tier 3,Supermarket Type3
10.395,Low Fat,0.050479463,Baking Goods,114.0176,1998,,Tier 3,Grocery Store
18.35,Low Fat,0.089485918,Household,192.1504,2007,,Tier 2,Supermarket Type1
,Low Fat,0.01594238,Household,103.3964,1985,Medium,Tier 3,Supermarket Type3
21.1,Low Fat,0.029127115,Household,143.3786,2009,Medium,Tier 3,Supermarket Type2
19.75,LF,0.069236421,Fruits and Vegetables,116.6466,1998,,Tier 3,Grocery Store
8.43,Low Fat,0.178699961,Household,173.9422,2007,,Tier 2,Supermarket Type1
15.35,Low Fat,0.015740089,Others,144.847,2009,Medium,Tier 3,Supermarket Type2
6.71,Low Fat,0.059565107,Breads,217.2166,1998,,Tier 3,Grocery Store
10.195,Low Fat,0.126277921,Canned,112.1886,1987,High,Tier 3,Supermarket Type1
11.65,Low Fat,0.291322397,Dairy,55.8298,1998,,Tier 3,Grocery Store
12.85,Low Fat,0.053433908,Health and Hygiene,183.2608,2004,Small,Tier 2,Supermarket Type1
12.15,Low Fat,0.131155007,Frozen Foods,248.146,2004,Small,Tier 2,Supermarket Type1
18.25,Low Fat,0.075194929,Snack Foods,124.9046,1997,Small,Tier 1,Supermarket Type1
5.98,Low Fat,0.075557965,Hard Drinks,57.0614,1997,Small,Tier 1,Supermarket Type1
12.65,Low Fat,0.122928415,Meat,106.6938,1987,High,Tier 3,Supermarket Type1
13.1,Regular,0.044442342,Fruits and Vegetables,181.0318,2007,,Tier 2,Supermarket Type1
20.7,Regular,0.100741569,Fruits and Vegetables,122.3388,2007,,Tier 2,Supermarket Type1
,Regular,0.039651481,Fruits and Vegetables,188.7188,1985,Medium,Tier 3,Supermarket Type3
7.855,Low Fat,0.011278673,Canned,188.8188,1999,Medium,Tier 1,Supermarket Type1
13.35,Regular,0,Snack Foods,179.666,1987,High,Tier 3,Supermarket Type1
17.25,LF,0.106952661,Frozen Foods,38.3822,1987,High,Tier 3,Supermarket Type1
,Regular,0.129825457,Snack Foods,263.2568,1985,Small,Tier 1,Grocery Store
10.395,Regular,0.029947409,Dairy,90.1514,2002,,Tier 2,Supermarket Type1
8.315,Regular,0.035565457,Baking Goods,144.8444,2004,Small,Tier 2,Supermarket Type1
20.7,Regular,0.047760002,Dairy,214.9876,2007,,Tier 2,Supermarket Type1
,Low Fat,0.015089147,Household,141.347,1985,Medium,Tier 3,Supermarket Type3
21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094,2007,,Tier 2,Supermarket Type1
5.88,Low Fat,0.086632125,Frozen Foods,152.6998,2002,,Tier 2,Supermarket Type1
,Regular,0.064306056,Starchy Foods,90.3804,1985,Medium,Tier 3,Supermarket Type3
7.435,low fat,0.08493006,Starchy Foods,165.8158,2007,,Tier 2,Supermarket Type1
14.65,Low Fat,0.072066634,Household,262.5594,1997,Small,Tier 1,Supermarket Type1
14,Low Fat,0.041256807,Starchy Foods,181.2634,1987,High,Tier 3,Supermarket Type1
18.2,Low Fat,0.058587558,Household,221.6456,2002,,Tier 2,Supermarket Type1
17.6,Low Fat,0.015711434,Household,180.0976,1999,Medium,Tier 1,Supermarket Type1
,Low Fat,0.032714163,Baking Goods,108.1938,1985,Medium,Tier 3,Supermarket Type3
7.71,Regular,0.047782552,Dairy,122.3756,2009,Medium,Tier 3,Supermarket Type2
7.81,Low Fat,0.067560171,Soft Drinks,245.2486,1999,Medium,Tier 1,Supermarket Type1
16.35,Low Fat,0.029505077,Household,256.2646,2002,,Tier 2,Supermarket Type1
13,Regular,0.045076104,Soft Drinks,173.7054,2002,,Tier 2,Supermarket Type1
,Low Fat,0.299544153,Snack Foods,124.8704,1985,Small,Tier 1,Grocery Store
13.35,Low Fat,0.139452413,Frozen Foods,148.6392,1997,Small,Tier 1,Supermarket Type1
,Low Fat,0.246178257,Hard Drinks,252.4382,1985,Small,Tier 1,Grocery Store
16.1,LF,0.065128984,Dairy,145.176,1987,High,Tier 3,Supermarket Type1
17.85,Low Fat,0.024816585,Soft Drinks,152.6998,2004,Small,Tier 2,Supermarket Type1
5.34,Regular,0.005988175,Snack Foods,100.6358,2009,Medium,Tier 3,Supermarket Type2
5.51,Low Fat,0.034473804,Health and Hygiene,97.3726,1997,Small,Tier 1,Supermarket Type1
6.61,Regular,0.028987582,Snack Foods,188.6898,1987,High,Tier 3,Supermarket Type1
6.38,Low Fat,0.032078604,Dairy,177.6344,2007,,Tier 2,Supermarket Type1
16.1,Regular,0.013593151,Fruits and Vegetables,108.9596,2004,Small,Tier 2,Supermarket Type1
13.65,LF,0.015911432,Breads,230.5668,1997,Small,Tier 1,Supermarket Type1
19.2,Regular,0.005588601,Starchy Foods,225.5062,1997,Small,Tier 1,Supermarket Type1
8.71,Low Fat,0.139510771,Canned,46.2376,2002,,Tier 2,Supermarket Type1
17.75,Regular,0.262504325,Dairy,242.2538,1998,,Tier 3,Grocery Store
19.35,Regular,0,Meat,165.7816,2002,,Tier 2,Supermarket Type1
,Low Fat,0.056783774,Dairy,223.1404,1985,Medium,Tier 3,Supermarket Type3
,Low Fat,0.041536279,Frozen Foods,107.7912,1985,Medium,Tier 3,Supermarket Type3
6.44,Low Fat,0.079538056,Breads,99.47,2009,Medium,Tier 3,Supermarket Type2
12.6,Low Fat,0.064057374,Health and Hygiene,122.1414,1987,High,Tier 3,Supermarket Type1
7.935,Low Fat,0.017156262,Dairy,48.135,1997,Small,Tier 1,Supermarket Type1
18.25,Low Fat,0.054540968,Snack Foods,140.4154,2007,,Tier 2,Supermarket Type1
18.5,Regular,0.045648973,Dairy,145.6102,2009,Medium,Tier 3,Supermarket Type2
6.035,Regular,0.065917194,Baking Goods,185.724,2002,,Tier 2,Supermarket Type1
11.8,Low Fat,0.058687359,Health and Hygiene,81.1618,1987,High,Tier 3,Supermarket Type1
6.26,Regular,0.009908113,Meat,151.1366,2009,Medium,Tier 3,Supermarket Type2
16.5,Regular,0.094395215,Baking Goods,97.2068,2007,,Tier 2,Supermarket Type1
15.7,Regular,0.02777326,Canned,169.279,2007,,Tier 2,Supermarket Type1
6.635,reg,0.006326106,Baking Goods,122.1098,1997,Small,Tier 1,Supermarket Type1
,low fat,0.143990546,Soft Drinks,191.553,1985,Small,Tier 1,Grocery Store
,Low Fat,0.09233359,Household,250.6066,1985,Medium,Tier 3,Supermarket Type3
,Low Fat,0.083661793,Canned,248.6092,1985,Small,Tier 1,Grocery Store
14,Regular,0.042022999,Snack Foods,53.064,1999,Medium,Tier 1,Supermarket Type1
,Regular,0.072044336,Dairy,48.8692,1985,Medium,Tier 3,Supermarket Type3
17.75,Low Fat,0,Dairy,249.775,2009,Medium,Tier 3,Supermarket Type2
17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,1998,,Tier 3,Grocery Store
8.155,Low Fat,0.119450639,Meat,190.653,1997,Small,Tier 1,Supermarket Type1
17.25,Low Fat,0.121917641,Canned,76.6986,1998,,Tier 3,Grocery Store
,Regular,0.131905128,Frozen Foods,232.0668,1985,Medium,Tier 3,Supermarket Type3
6.175,Regular,0.179043614,Meat,95.3752,2004,Small,Tier 2,Supermarket Type1
,Low Fat,0.0152302,Hard Drinks,107.0938,1985,Medium,Tier 3,Supermarket Type3
8.18,Regular,0.082401592,Frozen Foods,55.9588,1997,Small,Tier 1,Supermarket Type1
8.355,Low Fat,0.013917468,Baking Goods,92.5462,1987,High,Tier 3,Supermarket Type1
6.905,Regular,0.038140213,Dairy,96.3726,2004,Small,Tier 2,Supermarket Type1
20.35,Low Fat,0.054166556,Snack Foods,116.9466,2002,,Tier 2,Supermarket Type1
,Low Fat,0.03229139,Baking Goods,178.766,1985,Medium,Tier 3,Supermarket Type3
19.25,Low Fat,0.108641498,Household,33.0558,2007,,Tier 2,Supermarket Type1
5.48,Low Fat,0.015105338,Frozen Foods,84.625,2004,Small,Tier 2,Supermarket Type1
5.425,Regular,0.114650377,Baking Goods,87.3514,1999,Medium,Tier 1,Supermarket Type1
12.1,Low Fat,0.115342009,Baking Goods,220.2114,2009,Medium,Tier 3,Supermarket Type2
,Regular,0,Baking Goods,186.424,1985,Medium,Tier 3,Supermarket Type3
11,Low Fat,0.00896468,Meat,120.6756,2002,,Tier 2,Supermarket Type1
5.765,Low Fat,0.082346376,Baking Goods,38.8164,2009,Medium,Tier 3,Supermarket Type2
13.8,Low Fat,0.013318,Canned,110.1254,2009,Medium,Tier 3,Supermarket Type2
13.8,Low Fat,0.01325293,Canned,108.2254,1987,High,Tier 3,Supermarket Type1
5.44,Regular,0.017131453,Baking Goods,177.837,2009,Medium,Tier 3,Supermarket Type2
12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,1987,High,Tier 3,Supermarket Type1
6.13,Low Fat,0.028316137,Household,109.3912,2004,Small,Tier 2,Supermarket Type1
8.195,Low Fat,0.052562923,Baking Goods,93.9462,1998,,Tier 3,Grocery Store
14.15,Low Fat,0.1837926,Soft Drinks,81.3276,1999,Medium,Tier 1,Supermarket Type1
,Low Fat,0.111296158,Frozen Foods,151.2708,1985,Small,Tier 1,Grocery Store
16.75,Low Fat,0.029860799,Snack Foods,39.5822,2009,Medium,Tier 3,Supermarket Type2
14.3,LF,0.130617879,Baking Goods,76.5328,1999,Medium,Tier 1,Supermarket Type1
,LF,0.238990225,Canned,94.7094,1985,Small,Tier 1,Grocery Store
5.635,Low Fat,0.103186396,Baking Goods,151.805,1987,High,Tier 3,Supermarket Type1
5.73,Low Fat,0,Soft Drinks,188.3898,1998,,Tier 3,Grocery Store
7.155,Regular,0.168186376,Breads,36.5874,1997,Small,Tier 1,Supermarket Type1
15.2,low fat,0.050255855,Soft Drinks,97.3752,1999,Medium,Tier 1,Supermarket Type1
15.25,Low Fat,0.061173235,Household,128.5968,2004,Small,Tier 2,Supermarket Type1
10.395,Regular,0.029881147,Dairy,89.5514,2004,Small,Tier 2,Supermarket Type1
8.76,Low Fat,0.050154219,Health and Hygiene,126.9336,2002,,Tier 2,Supermarket Type1
9.13,Low Fat,0.051837621,Household,152.6024,2004,Small,Tier 2,Supermarket Type1
,Low Fat,0.11013617,Fruits and Vegetables,189.7846,1985,Medium,Tier 3,Supermarket Type3
19.6,Low Fat,0.024086626,Household,106.0964,2007,,Tier 2,Supermarket Type1
,Low Fat,0.013115567,Household,53.7614,1985,Medium,Tier 3,Supermarket Type3
20.35,Low Fat,0,Snack Foods,118.9466,1999,Medium,Tier 1,Supermarket Type1
10,Low Fat,0.038764258,Fruits and Vegetables,246.2144,2002,,Tier 2,Supermarket Type1
11.3,Low Fat,0.07986963,Household,180.466,1998,,Tier 3,Grocery Store
6.57,Low Fat,0.066057085,Hard Drinks,259.3278,2004,Small,Tier 2,Supermarket Type1
13.15,Low Fat,0.093044518,Household,158.4604,2009,Medium,Tier 3,Supermarket Type2
4.635,Low Fat,0.140771867,Breads,129.4994,1987,High,Tier 3,Supermarket Type1
10.6,Regular,0.033186809,Breakfast,49.1008,2009,Medium,Tier 3,Supermarket Type2
9.3,Low Fat,0.11139344,Breads,65.2826,1999,Medium,Tier 1,Supermarket Type1
7.02,Low Fat,0.049966527,Dairy,82.525,2002,,Tier 2,Supermarket Type1
13.8,Low Fat,0.097212998,Dairy,58.293,1999,Medium,Tier 1,Supermarket Type1
7.825,Regular,0.150863781,Frozen Foods,158.0288,2007,,Tier 2,Supermarket Type1
19.1,Low Fat,0.091900406,Others,182.5608,2004,Small,Tier 2,Supermarket Type1
7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101,1987,High,Tier 3,Supermarket Type1
8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292,1997,Small,Tier 1,Supermarket Type1
17.35,Low Fat,0.014714625,Frozen Foods,75.4038,1999,Medium,Tier 1,Supermarket Type1
17.75,Low Fat,0.127140836,Baking Goods,110.5544,1998,,Tier 3,Grocery Store
,Regular,0.061923154,Baking Goods,87.5514,1985,Medium,Tier 3,Supermarket Type3
16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,1999,Medium,Tier 1,Supermarket Type1
15.15,Low Fat,0,Baking Goods,150.4708,2002,,Tier 2,Supermarket Type1
5.46,Regular,0.053858378,Canned,186.924,1998,,Tier 3,Grocery Store
9.5,Regular,0.048784266,Starchy Foods,188.5898,2002,,Tier 2,Supermarket Type1
13.5,LF,0.073080167,Household,161.492,2007,,Tier 2,Supermarket Type1
8.275,Low Fat,0.184602443,Household,106.5306,1998,,Tier 3,Grocery Store
10.8,Regular,0.080582001,Baking Goods,39.4138,1998,,Tier 3,Grocery Store
5.635,Low Fat,0.103856487,Baking Goods,151.305,2007,,Tier 2,Supermarket Type1
7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801,2009,Medium,Tier 3,Supermarket Type2
,Low Fat,0.173275373,Baking Goods,127.6362,1985,Medium,Tier 3,Supermarket Type3
,Low Fat,0.083393481,Meat,180.6292,1985,Medium,Tier 3,Supermarket Type3
,Regular,0.0450476,Baking Goods,36.4874,1985,Medium,Tier 3,Supermarket Type3
,Low Fat,0.051816577,Soft Drinks,236.4564,1985,Medium,Tier 3,Supermarket Type3
15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,2004,Small,Tier 2,Supermarket Type1
4.905,low fat,0.117808305,Canned,198.5768,2009,Medium,Tier 3,Supermarket Type2
9.285,Regular,0.049270974,Frozen Foods,243.9144,2004,Small,Tier 2,Supermarket Type1
8.97,Low Fat,0.093540749,Household,55.4956,2007,,Tier 2,Supermarket Type1
18.75,Low Fat,0.087105823,Health and Hygiene,108.228,1998,,Tier 3,Grocery Store
8.895,Low Fat,0,Household,110.9544,1999,Medium,Tier 1,Supermarket Type1
16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,2004,Small,Tier 2,Supermarket Type1
10.195,Regular,0.01761655,Starchy Foods,239.4538,1987,High,Tier 3,Supermarket Type1
9.5,Low Fat,0.040898157,Hard Drinks,225.2088,1999,Medium,Tier 1,Supermarket Type1
12.1,Low Fat,0.079791176,Household,169.5106,2004,Small,Tier 2,Supermarket Type1
12.5,Low Fat,0.031049674,Fruits and Vegetables,101.399,1997,Small,Tier 1,Supermarket Type1
15.2,Low Fat,0.019112323,Snack Foods,236.2248,2009,Medium,Tier 3,Supermarket Type2
5.635,Low Fat,0.103272336,Baking Goods,151.205,1997,Small,Tier 1,Supermarket Type1
,Regular,0.054001526,Canned,227.8352,1985,Small,Tier 1,Grocery Store
8.895,Regular,0.081073148,Snack Foods,51.2008,2004,Small,Tier 2,Supermarket Type1
,Low Fat,0.019774239,Household,154.5972,1985,Medium,Tier 3,Supermarket Type3
,Regular,0.153038134,Fruits and Vegetables,219.0456,1985,Small,Tier 1,Grocery Store
6.89,Regular,0.13720009,Snack Foods,191.882,2007,,Tier 2,Supermarket Type1
16.25,Low Fat,0.02573698,Fruits and Vegetables,169.3474,1997,Small,Tier 1,Supermarket Type1
,Low Fat,0.070354806,Frozen Foods,53.9298,1985,Small,Tier 1,Grocery Store
,Regular,0.047028483,Snack Foods,118.3782,1985,Medium,Tier 3,Supermarket Type3
13.85,Low Fat,0.030857538,Soft Drinks,140.6154,2002,,Tier 2,Supermarket Type1
16.75,Low Fat,0.045302246,Snack Foods,189.1556,2007,,Tier 2,Supermarket Type1
18,Low Fat,0.073341257,Canned,155.7972,2002,,Tier 2,Supermarket Type1
9.21,Low Fat,0.00880049,Fruits and Vegetables,123.0414,2009,Medium,Tier 3,Supermarket Type2
20.85,Low Fat,0.039562497,Meat,118.1808,1997,Small,Tier 1,Supermarket Type1
10,Low Fat,0.038745948,Fruits and Vegetables,245.0144,1999,Medium,Tier 1,Supermarket Type1
5.48,Low Fat,0.015193653,Frozen Foods,82.825,2007,,Tier 2,Supermarket Type1
19.25,Regular,0.027075481,Meat,195.611,2004,Small,Tier 2,Supermarket Type1
18.5,Low Fat,0.052068722,Snack Foods,117.0124,1997,Small,Tier 1,Supermarket Type1
,Regular,0.114010306,Canned,112.2202,1985,Medium,Tier 3,Supermarket Type3
,LF,0.111641021,Household,38.8848,1985,Small,Tier 1,Grocery Store
15.7,Regular,0.008771522,Meat,205.798,2009,Medium,Tier 3,Supermarket Type2
20.25,Regular,0.103304968,Canned,92.612,2007,,Tier 2,Supermarket Type1
10.8,LF,0.028919203,Snack Foods,240.9222,1987,High,Tier 3,Supermarket Type1
18.5,Low Fat,0.034136703,Others,130.0284,2007,,Tier 2,Supermarket Type1
,Regular,0.045393469,Meat,102.2674,1985,Small,Tier 1,Grocery Store
,Regular,0.047199898,Frozen Foods,244.9144,1985,Medium,Tier 3,Supermarket Type3
18,Low Fat,0.07319282,Canned,154.2972,1997,Small,Tier 1,Supermarket Type1
10.5,Low Fat,0.011287929,Household,238.9248,1997,Small,Tier 1,Supermarket Type1
,Low Fat,0.036628533,Hard Drinks,145.6128,1985,Small,Tier 1,Grocery Store
14,Regular,0.105057952,Frozen Foods,141.1812,1987,High,Tier 3,Supermarket Type1
15.6,Regular,0,Snack Foods,169.2132,1997,Small,Tier 1,Supermarket Type1
11.6,Low Fat,0.017741644,Canned,178.3686,2004,Small,Tier 2,Supermarket Type1
16.25,Low Fat,0.039225553,Household,116.2176,2002,,Tier 2,Supermarket Type1
20.5,Low Fat,0.141766029,Starchy Foods,87.4172,2004,Small,Tier 2,Supermarket Type1
5.035,Regular,0.080236064,Breads,226.4036,2009,Medium,Tier 3,Supermarket Type2
17.6,Low Fat,0.082332074,Health and Hygiene,160.392,1997,Small,Tier 1,Supermarket Type1
,Low Fat,0.136085739,Snack Foods,259.8962,1985,Small,Tier 1,Grocery Store
8.68,Low Fat,0.008885672,Frozen Foods,96.9384,2007,,Tier 2,Supermarket Type1
17.5,Low Fat,0,Snack Foods,255.2356,1987,High,Tier 3,Supermarket Type1
7.435,Low Fat,0.141355941,Starchy Foods,168.5158,1998,,Tier 3,Grocery Store
8.71,Low Fat,0.121227447,Canned,95.2778,2004,Small,Tier 2,Supermarket Type1
5.34,Regular,0.005975976,Snack Foods,100.8358,2002,,Tier 2,Supermarket Type1
10.695,Regular,0.011425458,Snack Foods,73.6038,1997,Small,Tier 1,Supermarket Type1
14.8,Regular,0.043961689,Breads,109.157,1999,Medium,Tier 1,Supermarket Type1
18,Low Fat,0.01949589,Health and Hygiene,127.8994,2007,,Tier 2,Supermarket Type1
12.15,Low Fat,0.029523375,Household,117.215,1997,Small,Tier 1,Supermarket Type1
,Regular,0.062751586,Frozen Foods,244.2486,1985,Small,Tier 1,Grocery Store
21.2,Regular,0,Starchy Foods,173.0738,2007,,Tier 2,Supermarket Type1
8.3,Low Fat,0.059175953,Fruits and Vegetables,37.8506,1998,,Tier 3,Grocery Store
9.06,Low Fat,0.009831566,Others,211.156,2007,,Tier 2,Supermarket Type1
5.095,reg,0.216762584,Snack Foods,142.2838,1998,,Tier 3,Grocery Store
11.15,Low Fat,0.057254675,Baking Goods,104.0622,2007,,Tier 2,Supermarket Type1
5.34,Regular,0,Snack Foods,101.0358,1998,,Tier 3,Grocery Store
19.75,Low Fat,0.041598912,Fruits and Vegetables,118.0466,2007,,Tier 2,Supermarket Type1
19.6,Low Fat,0.024206741,Dairy,47.0718,1987,High,Tier 3,Supermarket Type1
10.695,Low Fat,0.063862271,Household,38.1848,1999,Medium,Tier 1,Supermarket Type1
9.42,Regular,0.073484791,Frozen Foods,63.6194,1998,,Tier 3,Grocery Store
13.5,Regular,0.125983278,Snack Foods,264.691,2007,,Tier 2,Supermarket Type1
